Size,Bubble Sort_mean,Quick Sort_mean,Merge Sort_mean,Insertion Sort_mean,Shell Sort_mean,Bubble Sort_std,Quick Sort_std,Merge Sort_std,Insertion Sort_std,Shell Sort_std
1000,0.08345589637756348,0.002325153350830078,0.0028229713439941405,0.039794111251831056,0.0034113407135009767,0.02567627374375706,0.00025633812110344834,0.00039579835500152643,0.015226150472609607,0.0017346430705608253
2000,0.24464139938354493,0.0038239002227783204,0.005587911605834961,0.11737141609191895,0.005032491683959961,0.005822408912671023,0.0008206988188717447,0.000519606009670866,0.008581796753975853,0.00044079122992147964
3000,0.5618510246276855,0.005475473403930664,0.008255529403686523,0.25740609169006345,0.007278156280517578,0.027268818120636883,0.00032001768394766957,0.0007449260121632755,0.008138272906071362,0.0009233342346868804
4000,0.9851881504058838,0.007029104232788086,0.0113983154296875,0.4533869743347168,0.01164698600769043,0.022104414833122882,0.0006228181010911445,0.0012053147548881614,0.007107544434446778,0.0013182782318859015
5000,1.5908965110778808,0.00815129280090332,0.01435542106628418,0.7237644195556641,0.013875913619995118,0.04147966977268411,0.0004578836849963366,0.0007351468692678449,0.03255049338759797,0.0009623081441521744
6000,2.252181053161621,0.010586309432983398,0.016982603073120116,1.0110890865325928,0.01720738410949707,0.031186967177053507,0.0006041921084874768,0.000586558498895994,0.009435286023404842,0.0012595102176083312
7000,3.0540003776550293,0.01242079734802246,0.020456314086914062,1.396313524246216,0.02602357864379883,0.04460291020569422,0.0012664433841843455,0.000912214471760912,0.04349893829107806,0.007855644361671014
8000,4.146703577041626,0.013340520858764648,0.02452235221862793,1.8141088962554932,0.02500433921813965,0.3604354354913894,0.0008873166240718019,0.0011991584568056093,0.05117246832257749,0.0011948565624578873
9000,5.110995531082153,0.01600050926208496,0.02811403274536133,2.25318865776062,0.02898879051208496,0.08455158748235576,0.001167641373584628,0.0017648140009449878,0.021884902922325086,0.0013664910508889773
